task,split_regime,seed,n_records,n_positive,n_negative,threshold,roc_auc,pr_auc,balanced_accuracy,mcc,brier,ece_10bin,sensitivity,specificity,accuracy
T3_pn_clf,poi,20260815,3240,2768,472,0.5,0.6198679521406877,0.9033813785890383,0.49118252179876554,-0.03785749737673131,0.13934736239928597,0.114473016274932,0.9696531791907514,0.012711864406779662,0.8302469135802469
T3_pn_clf,poi,20260816,3240,2768,472,0.5,0.5740649033751347,0.8784201308200862,0.5455294160869991,0.13317194405476734,0.1418748300104551,0.11813266579245708,0.951228323699422,0.13983050847457626,0.8330246913580247
T3_pn_clf,poi,20260817,3240,2768,472,0.5,0.5733228421671402,0.8713342500054837,0.5221814685999804,0.0952352668383397,0.1334096140927307,0.09531536979807745,0.9786849710982659,0.06567796610169492,0.845679012345679
T3_pn_clf,pub,20260815,3240,2768,472,0.5,0.5705558991378465,0.8820437436694295,0.4952544822180856,-0.03032233616075631,0.13748517405125812,0.10359631650793696,0.986271676300578,0.00423728813559322,0.8432098765432099
T3_pn_clf,pub,20260816,3240,2768,472,0.5,0.5774583312922504,0.8811117406247666,0.5581984177525228,0.21403541958565347,0.1285003953903452,0.09522385732903155,0.9786849710982659,0.13771186440677965,0.8561728395061728
T3_pn_clf,pub,20260817,3240,2768,472,0.5,0.5716875520476143,0.8870394626136793,0.5123597776036053,0.06365344351225735,0.13888679929861303,0.11224717045731755,0.9844653179190751,0.04025423728813559,0.8469135802469135
T3_pn_clf,random,20260815,3240,2768,472,0.5,0.600619519692368,0.8939739954161865,0.5019716860977761,0.012019657387950753,0.1313780292332636,0.09057110470064263,0.9869942196531792,0.01694915254237288,0.845679012345679
T3_pn_clf,random,20260816,3240,2768,472,0.5,0.5847526513667092,0.8855347472240223,0.5158837072597238,0.059824414816954455,0.13599678068479634,0.10234222050158334,0.9682080924855492,0.0635593220338983,0.8364197530864198
T3_pn_clf,random,20260817,3240,2768,472,0.5,0.5977771841628294,0.8990671681636406,0.49412168119917704,-0.03076436733448281,0.13812761787046535,0.10927978057276314,0.9797687861271677,0.00847457627118644,0.8382716049382716
T3_pn_clf,scaffold,20260815,3240,2768,472,0.5,0.5845509668609777,0.8876459145544473,0.546735696090918,0.1521939552902108,0.13600946995694072,0.10672960934677615,0.9642341040462428,0.1292372881355932,0.8425925925925926
T3_pn_clf,scaffold,20260816,3240,2768,472,0.5,0.5862895868031743,0.8827845090516624,0.5192821103164496,0.1026064156454698,0.13246847832094444,0.09610653090072274,0.9877167630057804,0.05084745762711865,0.8512345679012345
T3_pn_clf,scaffold,20260817,3240,2768,472,0.5,0.5879463082933281,0.8929072917139803,0.5042954589987264,0.028150826731914484,0.1358433697013662,0.10428319468542385,0.9895231213872833,0.019067796610169493,0.8481481481481481
