task,cluster_unit,split_regime,seed,metric,point_estimate,bootstrap_mean,bootstrap_sd,q025,q500,q975,n_records,n_clusters,bootstrap_reps,finite_bootstrap_reps
T3_pn_clf,inchikey,poi,20260815,roc_auc,0.6198679521406877,0.6206755347777074,0.016805959423308512,0.5872718000536465,0.6211267784254795,0.6519252556691417,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,pr_auc,0.9033813785890383,0.9035962321827455,0.008475557557430671,0.886122542365193,0.9037548193630719,0.9187087522306524,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,balanced_accuracy,0.49118252179876554,0.49121459017265706,0.003020129302906847,0.4854671175787807,0.4911615162731344,0.4972995256201565,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,mcc,-0.03785749737673131,-0.03762431625503018,0.012483604967555722,-0.06007259790100957,-0.038208590444905016,-0.011562413361945405,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,brier,0.13934736239928597,0.13921490148191282,0.006789277838632106,0.12630302616047995,0.13903075067978893,0.15361259025115193,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,ece_10bin,0.114473016274932,0.11544372054438637,0.007522422090099355,0.10095664924444842,0.1153632732955019,0.13110143705265428,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,sensitivity,0.9696531791907514,0.9696124160477653,0.0035637041023000326,0.9620115774240231,0.9698924692504554,0.9762265311506148,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260815,specificity,0.012711864406779662,0.01281676429754882,0.0050635192117324075,0.004157573722791115,0.01259182918450399,0.02350490196078431,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,roc_auc,0.5740649033751347,0.5745897150995661,0.01916237052814618,0.5385243019102736,0.5738632991951351,0.6131038853057037,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,pr_auc,0.8784201308200862,0.8791619229776105,0.010887085548736136,0.8585507942522513,0.8791730311162946,0.900228675782759,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,balanced_accuracy,0.5455294160869991,0.5459424762653233,0.010010739037235152,0.5274360715601731,0.5455626333901255,0.5653568907126248,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,mcc,0.13317194405476734,0.1339870038761718,0.027326609307313548,0.08166345193666633,0.13311108012338996,0.18528824755700588,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,brier,0.1418748300104551,0.1416316059024846,0.0071652487250704385,0.12802315454961324,0.14147461957803703,0.15604621420673,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,ece_10bin,0.11813266579245708,0.11943033228375857,0.007796351522419226,0.10472738315323178,0.11936675043665645,0.13461422344752133,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,sensitivity,0.951228323699422,0.9512769613836032,0.004808092894712488,0.9416020149109025,0.9513688760806917,0.9606218100479645,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260816,specificity,0.13983050847457626,0.14060799114704345,0.01997607593221674,0.10337949829115196,0.13995714266090964,0.18008667570164,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,roc_auc,0.5733228421671402,0.5733045331480495,0.018940849290770286,0.5365238634702963,0.5732299124942088,0.6107232213453045,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,pr_auc,0.8713342500054837,0.8715193564353824,0.011700571365047482,0.8492432322508859,0.8716049435300968,0.8929025941468672,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,balanced_accuracy,0.5221814685999804,0.5222650842595161,0.006553176321502435,0.5100321169898001,0.5220942067583572,0.5354831836271958,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,mcc,0.0952352668383397,0.09525803680969007,0.02560875596769517,0.046363622334003804,0.09523738378298255,0.14772158697546015,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,brier,0.1334096140927307,0.1334794597296954,0.006837132824025201,0.12050313133791925,0.1333519567185247,0.14734123405083965,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,ece_10bin,0.09531536979807745,0.09566123710583023,0.007922417080791241,0.08068989584407522,0.09537043490823433,0.11161187935747335,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,sensitivity,0.9786849710982659,0.9786487792666673,0.0035874947532894296,0.9710916482508611,0.978727239258157,0.9853855548953588,3240,2278,1000,1000
T3_pn_clf,inchikey,poi,20260817,specificity,0.06567796610169492,0.06588138925236489,0.013523739597432678,0.04141981207198599,0.06560541806443446,0.09409386621660075,3240,2278,1000,1000
T3_pn_clf,inchikey,pub,20260815,roc_auc,0.5705558991378465,0.5693468316362441,0.017512415393904038,0.5359124443733467,0.5696484191789697,0.6027640368590392,3240,2278,1000,1000
