task,split_regime,seed,n_records,mae,rmse,r2,spearman
T2_dmax_reg,poi,20260815,2036,22.539365870694983,30.40912316377545,-0.12511664668288836,0.1260199976487517
T2_dmax_reg,poi,20260816,2036,25.588914562480156,65.77988256297742,-4.264728052039587,0.11024094555750441
T2_dmax_reg,poi,20260817,2036,24.38197846002335,31.056609572226954,-0.17353984544148138,-0.009424689105368202
T2_dmax_reg,pub,20260815,2036,23.399046854644958,30.11830049203201,-0.10369907625519525,0.05645984692514365
T2_dmax_reg,pub,20260816,2036,28.86169962540123,92.5597018885074,-9.423981922307965,0.11786660791150476
T2_dmax_reg,pub,20260817,2036,23.153690282225842,29.828471041031246,-0.08255941283926149,0.10824314028152748
T2_dmax_reg,random,20260815,2036,21.949354459991156,28.728235109619796,-0.004170937303668909,0.25244197727817147
T2_dmax_reg,random,20260816,2036,23.036251792308157,29.42508943351708,-0.053477678745623036,0.1062405401291553
T2_dmax_reg,random,20260817,2036,22.39247517359046,29.881332765811973,-0.0863998152053731,0.20560987710954942
T2_dmax_reg,scaffold,20260815,2036,30.38189321993845,94.54323155791324,-9.87553525575442,-0.09451729991078722
T2_dmax_reg,scaffold,20260816,2036,25.616675497778274,72.28303884370324,-5.357151478635372,0.16988374097214415
T2_dmax_reg,scaffold,20260817,2036,24.59909345701776,31.427158916982847,-0.20171089446520551,-0.06316033993460697
