task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,record_level_all,scaffold,20260817,brier,0.1358433697013662,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260817,ece_10bin,0.10428319468542385,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260817,sensitivity,0.9895231213872833,3240,2278,132,0,0
T3_pn_clf,record_level_all,scaffold,20260817,specificity,0.019067796610169493,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,roc_auc,0.6135325595149027,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,pr_auc,0.9227347837422966,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,balanced_accuracy,0.5070434578140698,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,mcc,0.04075768537587055,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,brier,0.10564148919007443,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,ece_10bin,0.0742668021110457,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,sensitivity,0.9895470383275261,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,scaffold,20260817,specificity,0.024539877300613498,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,scaffold,20260817,roc_auc,0.6150245368183488,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,pr_auc,0.9271522807533427,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,balanced_accuracy,0.507350111093616,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,mcc,0.04028121458752875,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,brier,0.10033877723653868,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,ece_10bin,0.07066957962361457,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,sensitivity,0.9888381532217149,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,scaffold,20260817,specificity,0.02586206896551724,2203,2203,132,0,75
