task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,record_level_all,poi,20260817,sensitivity,0.9786849710982659,3240,2278,132,0,0
T3_pn_clf,record_level_all,poi,20260817,specificity,0.06567796610169492,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,roc_auc,0.604977923135936,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,pr_auc,0.91724686151672,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,balanced_accuracy,0.5258058233518356,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,mcc,0.11184871430332556,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,brier,0.104169606975599,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,ece_10bin,0.0699973860611495,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,sensitivity,0.9841269841269841,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,poi,20260817,specificity,0.06748466257668712,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,poi,20260817,roc_auc,0.5875376143739393,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,pr_auc,0.9130589341505043,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,balanced_accuracy,0.5262371192638079,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,mcc,0.10060181234997803,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,brier,0.10100813212943081,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,ece_10bin,0.06972050520706002,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,sensitivity,0.9791983764586504,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,poi,20260817,specificity,0.07327586206896551,2203,2203,132,0,75
T3_pn_clf,record_level_all,pub,20260815,roc_auc,0.5705558991378465,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,pr_auc,0.8820437436694295,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,balanced_accuracy,0.4952544822180856,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,mcc,-0.03032233616075631,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,brier,0.13748517405125812,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,ece_10bin,0.10359631650793696,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,sensitivity,0.986271676300578,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260815,specificity,0.00423728813559322,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,roc_auc,0.5917258668642777,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,pr_auc,0.9211494909795971,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,balanced_accuracy,0.49571169681898397,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,mcc,-0.02323224672278576,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,brier,0.10922245878489786,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,ece_10bin,0.07634177261015193,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,sensitivity,0.9852884243128146,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260815,specificity,0.006134969325153374,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,pub,20260815,roc_auc,0.5444636890078552,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,pr_auc,0.9103735904265875,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,balanced_accuracy,0.49619263807974245,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,mcc,-0.01896147979762571,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,brier,0.10633897508554618,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,ece_10bin,0.07767218953362935,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,sensitivity,0.9837645865043125,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260815,specificity,0.008620689655172414,2203,2203,132,0,75
T3_pn_clf,record_level_all,pub,20260816,roc_auc,0.5774583312922504,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,pr_auc,0.8811117406247666,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,balanced_accuracy,0.5581984177525228,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,mcc,0.21403541958565347,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,brier,0.1285003953903452,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,ece_10bin,0.09522385732903155,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,sensitivity,0.9786849710982659,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260816,specificity,0.13771186440677965,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,roc_auc,0.6290231789259172,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,pr_auc,0.9229192795705958,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,balanced_accuracy,0.5790848136351653,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,mcc,0.26272525950489817,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,brier,0.09721536924611261,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,ece_10bin,0.06872107338028377,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,sensitivity,0.9802555168408827,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260816,specificity,0.17791411042944785,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,pub,20260816,roc_auc,0.6219689812627932,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,pr_auc,0.9235034276384951,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,balanced_accuracy,0.5801164296086355,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,mcc,0.25830446317675254,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,brier,0.09383005319626624,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,ece_10bin,0.068190320937324,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,sensitivity,0.9791983764586504,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,pub,20260816,specificity,0.1810344827586207,2203,2203,132,0,75
T3_pn_clf,record_level_all,pub,20260817,roc_auc,0.5716875520476143,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,pr_auc,0.8870394626136793,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,balanced_accuracy,0.5123597776036053,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,mcc,0.06365344351225735,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,brier,0.13888679929861303,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,ece_10bin,0.11224717045731755,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,sensitivity,0.9844653179190751,3240,2278,132,0,0
T3_pn_clf,record_level_all,pub,20260817,specificity,0.04025423728813559,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,roc_auc,0.5930945374309133,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,pr_auc,0.9205442054850352,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,pub,20260817,balanced_accuracy,0.5150844716159695,2909,2146,132,331,0
